기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
강남구,2.00104454E8,9.6
강동구,1.0352299E8,5.0
강북구,5.1212074E7,2.5
강서구,1.02842436E8,4.9
관악구,8.8003398E7,4.2
광진구,7.8183434E7,3.7
구로구,7.2805117E7,3.5
금천구,3.3292847E7,1.6
노원구,1.1030376E8,5.3
도봉구,5.1106286E7,2.4
동대문구,6.616197E7,3.2
동작구,6.5217204E7,3.1
마포구,9.188914E7,4.4
서대문구,5.8886048E7,2.8
서초구,1.292205E8,6.2
성동구,6.3899934E7,3.1
성북구,9.132963E7,4.4
송파구,1.60771065E8,7.7
양천구,6.4521933E7,3.1
영등포구,1.03543391E8,5.0
용산구,5.8639287E7,2.8
은평구,6.4398502E7,3.1
종로구,5.7104957E7,2.7
중구,5.3221357E7,2.6
중랑구,6.6224176E7,3.2
